bridge_id,node_a,node_b
B085,Circulation_013,Door_134
B086,Parking_55,Door_122
B087,011_community_hall,Door_028
B088,Circulation_001,Door_058
B089,Parking_99,Window_022
B090,Storage_room_009,Door_071
B091,Parking_75,Door_110
B092,Circulation_006,Door_101
B093,Parking_28,Door_146
B094,Circulation_013,Door_127
B095,Parking_29,Door_055
B096,Circulation_013,Door_131
B097,Parking_87,Door_090
B098,Circulation_005,Door_091
B099,Parking_67,Door_118
B100,Parking_79,Door_099
B101,011_community_hall,Door_032
B102,Circulation_012,Door_124
B103,Circulation_007,Door_110
B104,Parking_13,Door_161
B105,Parking_20,Door_154
B106,Parking_43,Door_134
B107,Parking_42,Door_135
B108,Parking1,Door_022
B109,Circulation_008,Door_008
B110,Storage_room_014,Door_066
B111,Circulation_008,Door_155
B112,Circulation_013,Door_145
B113,Parking_70,Door_115
B114,Parking_45,Door_132
B115,Storage_room_006,Door_074
B116,Parking_65,Door_101
B117,05_FAmily_Room,Door_024
B118,Parking_14,Door_160
B119,Circulation_008,Door_153
B120,Parking_47,Door_130
B121,Circulation_011,Door_062
B122,08_Gym,Door_037
B123,Circulation_012,Window_035
B124,Parking_26,Door_148
B125,010_Circulaction,Door_033
B126,Parking_48,Door_129
B127,Circulation_012,Window_041
B128,011_community_hall,Door_029
B129,recycling_room_03,Door_059
B130,011_BAthroom_community_hall_01,Door_028
B131,010_Circulaction,Door_034
B132,Circulation_004,Door_116
B133,Circulation_013,Door_140
B134,Parking_93,Window_020
B135,07_service_area,Door_039
B136,Parking_59,Door_107
B137,Circulation_011,Door_063
B138,Parking7,Door_077
B139,08_Gym,Door_036
B140,object_3,Door_015
B141,Parking_63,Door_103
B142,Parking_22,Door_152
B143,Parking_41,Door_056
B144,Circulation_008,Door_056
B145,Circulation_010,Door_059
B146,Circulation_011,Door_071
B147,08_Gym,Door_035
B148,Storage_room_011,Door_069
B149,Storage_room_005,Door_075
B150,recycling_room_01,Door_048
B151,05_FAmily_Room,Door_023
B152,Circulation_013,Door_139
B153,Circulation_012,Door_120
B154,Circulation_013,Door_143
B155,Circulation_011,Window_033
B156,Circulation_008,Door_151
B157,Parking_37,Door_139
B158,Elevator_02_Tower_01,Door_057
B159,POWER PLANT,Door_021
B160,Storage_room_010,Door_070
B161,Circulation_001,Door_008
B162,Circulation_012,Door_123
B163,Circulation_006,Door_094
B164,01_Lobby,Door_047
B165,Storage_room_007,Door_073
B166,Stair_02_Tower_02,Door_044
B167,Parking_101,Door_116
B168,02_Retail_space,Door_017
B169,Circulation_001,Door_049
B170,Circulation_011,Door_061
B171,Parking_52,Door_125
B172,Circulation_011,Door_010
B173,Circulation_001,Door_040
B174,Circulation_006,Door_107
B175,Circulation_001,Door_057
B176,Elevator_02_Tower_02,Door_040
B177,Circulation_003,Door_118
B178,Storage_room_008,Door_072
B179,Parking_35,Door_141
B180,Circulation_013,Door_141
B181,Circulation_013,Door_133
B182,Storage_room_015,Door_065
B183,Circulation_013,Door_128
B184,Parking_51,Door_126
B185,Circulation_007,Door_109
B186,Circulation_010,Door_161
B187,010_Circulaction,Door_035
B188,Circulation_006,Window_014
B189,Circulation_007,Door_114
B190,Parking_80,Door_098
B191,Storage_room_017,Door_063
B192,Circulation_006,Door_106
B193,Circulation_013,Door_011
B194,Storage_room_002,Door_022
B195,Circulation_011,Door_065
B196,Parking_74,Door_111
B197,Parking_60,Door_106
B198,Parking_82,Door_096
B199,Circulation_007,Door_113
B200,Circulation_008,Door_148
B201,Circulation_011,Door_072
B202,04_Common_Space,Window_030
B203,Circulation_011,Door_073
B204,Circulation_011,Door_064
B205,Parking_76,Door_109
B206,Circulation_013,Door_144
B207,Storage_room_012,Door_068
B208,06_Major_Office,Door_026
B209,Circulation_013,Door_129
B210,Circulation_006,Door_097
B211,Parking_38,Door_138
B212,Circulation_002,Door_054
B213,Circulation_010,Door_160
B214,Circulation_012,Door_121
B215,Circulation_011,Door_070
B216,Circulation_013,Door_130
B217,Storage_room_004,Door_077
B218,Circulation_011,Door_011
B219,Storage_room_013,Door_067
B220,Parking_99,Window_024
B221,Circulation_013,Door_136
B222,Circulation_012,Door_125
B223,Parking_66,Window_012
B224,011_community_hall,Door_031
B225,05_FAmily_Room,Window_001
B226,Parking_34,Door_142
B227,Parking_27,Door_147
B228,Parking_30,Door_054
B229,Parking_21,Door_153
B230,Parking_36,Door_140
B231,Circulation_004,Door_117
B232,object_2,Door_016
B233,Parking_62,Door_104
B234,Stair_02_Tower_01,Door_043
B235,Parking_99,Window_023
B236,Circulation_007,Door_115
B237,Circulation_006,Door_100
B238,Parking_83,Door_095
B239,Parking_86,Door_091
B240,Circulation_011,Door_068
B241,Circulation_012,Door_122
B242,Parking_19,Door_155
B243,Circulation_001,Door_042
B244,Circulation_007,Door_112
B245,Circulation_012,Window_037
B246,Circulation_001,Door_043
B247,Parking_73,Door_112
B248,Circulation_008,Door_156
B249,02_Retail_space,Window_042
B250,Circulation_011,Door_069
B251,Parking_53,Door_124
B252,05_FAmily_Room,Door_025
B253,Stair_01_Tower_02,Door_045
B254,09_Storage_public,Door_034
B255,Parking_64,Door_102
B256,02_Retail_space,Door_047
B257,Circulation_006,Door_103
B258,Parking_32,Door_144
B259,Circulation_011,Door_076
B260,Parking_77,Window_008
B261,Parking_31,Door_145
B262,Circulation_011,Door_067
B263,Circulation_006,Door_102
B264,Circulation_006,Door_099
B265,Stair_01_Tower_01,Door_042
