node_a,node_b,weight,type,name
01_Lobby,Window_032,1.895726,access,01_Lobby--Window_032
01_Lobby,Door_046,2.059315,access,01_Lobby--Door_046
03_service kitchenette,Door_051,2.877424,access,03_service kitchenette--Door_051
03_service kitchenette,Door_016,1.735483,access,03_service kitchenette--Door_016
03_service kitchenette,Door_015,1.401667,access,03_service kitchenette--Door_015
03_service kitchenette,Window_031,3.244847,access,03_service kitchenette--Window_031
recycling_room_01,Door_048,2.453493,access,recycling_room_01--Door_048
recycling_room_01,Door_061,3.024396,access,recycling_room_01--Door_061
Parking_11,Door_165,2.810017,access,Parking_11--Door_165
Parking_11,Door_164,2.810017,access,Parking_11--Door_164
Parking_12,Door_163,2.810017,access,Parking_12--Door_163
Parking_12,Door_162,2.810018,access,Parking_12--Door_162
Parking_13,Door_161,2.804935,access,Parking_13--Door_161
Parking_14,Door_160,2.794959,access,Parking_14--Door_160
Parking_15,Door_159,2.780472,access,Parking_15--Door_159
Parking_16,Door_158,2.762058,access,Parking_16--Door_158
Storage_room_008,Door_072,1.338744,access,Storage_room_008--Door_072
Parking1,Door_022,3.609559,access,Parking1--Door_022
Parking1,Window_006,3.001104,access,Parking1--Window_006
Parking1,Door_172,2.366522,access,Parking1--Door_172
Parking_56,Door_121,2.798484,access,Parking_56--Door_121
Parking_24,Door_150,2.798483,access,Parking_24--Door_150
Storage_room_006,Door_074,1.310149,access,Storage_room_006--Door_074
Parking_53,Door_124,2.798484,access,Parking_53--Door_124
Parking_26,Door_148,2.798483,access,Parking_26--Door_148
Parking_52,Door_125,2.798484,access,Parking_52--Door_125
Parking_67,Door_118,2.798569,access,Parking_67--Door_118
Parking_55,Door_122,2.798484,access,Parking_55--Door_122
Parking_101,Door_116,2.798569,access,Parking_101--Door_116
Parking_70,Door_115,2.254497,access,Parking_70--Door_115
010_Circulaction,Door_033,0.737428,access,010_Circulaction--Door_033
010_Circulaction,Door_035,1.628778,access,010_Circulaction--Door_035
010_Circulaction,Door_034,1.128402,access,010_Circulaction--Door_034
object_2,Door_016,0.972793,access,object_2--Door_016
Storage_room_009,Door_071,1.300313,access,Storage_room_009--Door_071
object_3,Door_015,0.976255,access,object_3--Door_015
